signal_id,date_signal,symbol,direction,entry_price,tp1_target,tp2_target,tp3_target,sl_target,leverage,risk_reward,confidence_pct,btc_trend,ai_insight,status,tp1_hit,tp2_hit,tp3_hit,sl_hit,tp1_date,tp2_date,tp3_date,sl_date,tp1_profit_pct,tp2_profit_pct,tp3_profit_pct,sl_loss_pct,entry_valid,actual_signal_price,entry_slippage_pct,tp3_missed,validation_status
54,2026-03-21 15:46:56+00:00,LAUSDT,SHORT,0.2307,0.22039,0.21352,0.20494,0.24272,5,1:1.43,,Sideways,"Meskipun ada dua candle hijau terakhir, tekanan jual masih dominan dan divergensi RSI bearish mendukung sinyal SHORT.",TP3_CLOSED,True,True,True,False,2026-03-21 23:52:25+00:00,2026-03-22 01:07:33+00:00,2026-03-23 08:58:02+00:00,,22.33,37.22,55.84,,False,,,False,fetch_error
55,2026-03-21 17:11:43+00:00,ATHUSDT,LONG,0.00807,0.00833,0.0085,0.00871,0.00777,5,1:1.43,,Sideways,Sinyal menunjukkan konfirmasi dari beberapa indikator teknis namun volume trend menurun dan candle terakhir menunjukkan penurunan momentum.,TP2,True,True,False,False,2026-03-21 19:02:45+00:00,2026-03-21 20:09:33+00:00,,,16.0,26.67,,,False,,,False,fetch_error
60,2026-03-22 04:35:24+00:00,TURBOUSDT,LONG,0.00109,0.00113,0.00114,0.00117,0.00105,4,1:1.25,,Sideways,Indikator teknikal mendukung LONG namun volume trend menurun dan candle terakhir menunjukkan momentum yang kurang kuat.,SL_CLOSED,False,False,False,True,,,,2026-03-22 06:02:47+00:00,,,,14.44,False,,,False,fetch_error
62,2026-03-22 10:30:26+00:00,BTRUSDT,LONG,0.16263,0.17013,0.17389,0.17951,0.15363,4,1:1.25,,Sideways,"Sinyal menunjukkan momentum bullish dengan volume spike dan alignment indikator, meskipun ada sedikit konflik dengan funding rate tinggi dan candle terakhir merah.",TP3_CLOSED,True,True,True,False,2026-03-22 13:40:42+00:00,2026-03-22 13:55:30+00:00,2026-03-22 15:16:25+00:00,,18.46,27.69,41.53,,False,,,False,fetch_error
67,2026-03-22 16:46:46+00:00,INJUSDT,SHORT,2.966,2.9392,2.9258,2.90569,2.99816,4,1:1.25,,Sideways,"Sinyal SHORT didukung oleh momentum bearish dan indikator teknikal, meskipun volume trend menurun dan BTC sideways",TP2,True,True,False,False,2026-03-22 18:36:32+00:00,2026-03-22 21:05:49+00:00,,,3.61,5.42,,,False,,,False,fetch_error
73,2026-03-23 01:18:23+00:00,XAGUSDT,SHORT,67.52,65.85449,64.74415,63.35623,68.85241,7,1:2.08,,Sideways,"Sinyal SHORT didukung oleh tekanan jual tinggi, tren EMA bearish, dan volume spike yang signifikan, meskipun BTC dan 4H tren netral.",TP3_CLOSED,True,True,True,False,2026-03-23 02:37:20+00:00,2026-03-23 05:45:36+00:00,2026-03-23 06:03:08+00:00,,17.27,28.78,43.17,,False,,,False,fetch_error
74,2026-03-23 01:29:24+00:00,XAUUSDT,SHORT,4427.11,4353.07277,4303.71461,4242.01691,4486.33979,7,1:2.08,,Sideways,"Sinyal SHORT didukung oleh RSI <50, MACD aligned, dan sell pressure lebih tinggi. Namun perlu diperhatikan volume spike yang signifikan dan posisi Bollinger Band yang sudah cukup rendah (0.08).",TP3_CLOSED,True,True,True,False,2026-03-23 03:12:58+00:00,2026-03-23 06:02:51+00:00,2026-03-23 06:31:30+00:00,,11.71,19.51,29.27,,False,,,False,fetch_error
80,2026-03-23 06:03:12+00:00,ESPUSDT,SHORT,0.0953,0.0932,0.0918,0.09005,0.09698,7,1:2.08,,Downtrend,"Indikator teknikal mendukung sinyal SHORT, namun volume trend menurun bisa mengurangi momentum.",TP2,True,True,False,False,2026-03-23 08:44:20+00:00,2026-03-23 09:07:12+00:00,,,15.43,25.72,,,False,,,False,fetch_error
83,2026-03-23 07:41:08+00:00,SKYUSDT,SHORT,0.06801,0.06611,0.06485,0.06326,0.06953,7,1:2.08,,Downtrend,"Sinyal SHORT didukung oleh tren BTC downtrend, tekanan jual tinggi (69.3%), dan posisi BB di 0.16 menunjukkan harga masih dalam zona oversold. Tidak ada konflik serius antar indikator.",SL_CLOSED,False,False,False,True,,,,2026-03-23 11:06:29+00:00,,,,15.63,False,,,False,fetch_error
84,2026-03-23 08:02:13+00:00,SAHARAUSDT,SHORT,0.02645,0.02574,0.02527,0.02468,0.02702,7,1:2.08,,Downtrend,"Sinyal SHORT didukung oleh tren BTC downtrend dan tekanan jual tinggi, meskipun volume trend menurun perlu diwaspadai.",TP1,True,False,False,False,2026-03-23 09:49:09+00:00,,,,18.69,,,,False,,,False,fetch_error
87,2026-03-23 09:06:26+00:00,PAXGUSDT,SHORT,4270.49,4178.91281,4117.86135,4041.54703,4343.75175,7,1:2.08,,Downtrend,"Sinyal SHORT didukung oleh tren BTC downtrend dan tekanan jual tinggi, meskipun orderbook sedikit melawan.",SL_CLOSED,False,False,False,True,,,,2026-03-23 11:06:27+00:00,,,,12.01,False,,,False,fetch_error
90,2026-03-23 10:23:49+00:00,CYSUSDT,LONG,0.6793,0.73336,0.7694,0.81445,0.63605,7,1:2.08,,Sideways,"Indikator teknikal mendukung sinyal LONG dengan tren kuat dan tekanan beli tinggi, meskipun ada sedikit penurunan pada candle terakhir.",TP1,True,False,False,False,2026-03-23 12:06:59+00:00,,,,55.71,,,,False,,,False,fetch_error
94,2026-03-23 11:23:49+00:00,UAIUSDT,SHORT,0.2449,0.2081,0.18357,0.15291,0.27434,4,1:2.08,,Sideways,"Sinyal SHORT didukung oleh tekanan jual tinggi dan momentum bearish yang konsisten, meskipun volume spike perlu diwaspadai.",OPEN,False,False,False,False,,,,,,,,,False,,,False,fetch_error
95,2026-03-23 11:24:22+00:00,XPTUSDT,SHORT,1867.28,1797.82869,1751.52781,1693.65171,1922.84105,7,1:2.08,,Sideways,"Sinyal SHORT didukung oleh EMA cross, MACD, dan ADX kuat, namun momentum 3 candle terakhir menunjukkan kenaikan harga yang perlu diwaspadai.",OPEN,False,False,False,False,,,,,,,,,False,,,False,fetch_error
96,2026-03-23 11:25:03+00:00,IPUSDT,SHORT,0.6605,0.64072,0.62753,0.61105,0.67632,7,1:2.08,,Sideways,"Meskipun ada bullish RSI divergence, sinyal didukung oleh volume spike, stochastic overbought, dan tren bearish yang kuat (ADX 61).",TP1,True,False,False,False,2026-03-23 16:22:08+00:00,,,,20.96,,,,False,,,False,fetch_error
98,2026-03-23 13:27:50+00:00,HOODUSDT,LONG,70.96,72.84918,74.10863,75.68294,69.44866,7,1:2.08,,Sideways,"Signal memiliki konfirmasi MACD dan RSI, tetapi melawan tren utama (EMA200) dan memiliki volume spike yang perlu diwaspadai.",TP1,True,False,False,False,2026-03-23 14:13:35+00:00,,,,18.64,,,,False,,,False,fetch_error
101,2026-03-23 19:29:18+00:00,LYNUSDT,SHORT,0.06996,0.06166,0.05612,0.0492,0.0766,5,1:2.08,,Sideways,"Sinyal SHORT didukung oleh tekanan jual tinggi dan alignment indikator, tetapi ada konflik dengan 3 candle terakhir yang menunjukkan rebound (2 green candle).",TP1,True,False,False,False,2026-03-24 02:02:49+00:00,,,,59.35,,,,False,,,False,fetch_error
102,2026-03-23 19:29:33+00:00,ARIAUSDT,LONG,0.25615,0.28041,0.29658,0.3168,0.23674,6,1:2.08,,Sideways,"Indikator teknikal mendukung sinyal LONG dengan ADX tinggi dan buying pressure kuat, meskipun volume trend menurun perlu diwaspadai.",TP2,True,True,False,False,2026-03-24 06:46:33+00:00,2026-03-24 07:20:59+00:00,,,56.83,94.71,,,False,,,False,fetch_error
103,2026-03-23 19:29:51+00:00,HBARUSDT,LONG,0.09283,0.09469,0.09593,0.09748,0.09134,7,1:2.08,,Sideways,"Sinyal menunjukkan momentum bullish dengan tekanan beli tinggi dan konfirmasi dari MACD serta VWAP, meskipun volume trend menurun perlu diwaspadai.",OPEN,False,False,False,False,,,,,,,,,False,,,False,fetch_error
104,2026-03-23 19:30:45+00:00,GUSDT,LONG,0.0041,0.00423,0.00432,0.00444,0.00399,7,1:2.08,,Sideways,"Meskipun Buy Pressure rendah dan Volume Trend menurun, indikator teknikal utama masih mendukung sinyal LONG.",SL_CLOSED,False,False,False,True,,,,2026-03-24 00:39:52+00:00,,,,18.42,False,,,False,fetch_error
107,2026-03-24 02:16:40+00:00,BTRUSDT,LONG,0.0414,0.05354,0.06163,0.07175,0.03169,2,1:2.08,,Sideways,"Sinyal menunjukkan oversold bounce dengan beberapa konfirmasi positif (MACD aligned, buying pressure tinggi), namun perlu diperhatikan melawan tren utama (EMA200) dan volume trend yang menurun.",OPEN,False,False,False,False,,,,,,,,,False,,,False,fetch_error
110,2026-03-24 08:23:07+00:00,BRUSDT,LONG,0.15831,0.1896,0.21046,0.23653,0.13328,3,1:2.08,65.0,Sideways,"Meskipun Bollinger Band Position sudah sangat tinggi (0.97) yang menunjukkan overbought, momentum dan volume masih mendukung dengan RSI dan MACD yang aligned. BTC dalam kondisi sideways dan tidak ada divergensi RSI.",SL_CLOSED,False,False,False,True,,,,2026-03-24 10:32:55+00:00,,,,,False,,,False,fetch_error
111,2026-03-24 08:23:24+00:00,ASTERUSDT,SHORT,0.6586,0.64446,0.63504,0.62326,0.66991,7,1:2.08,65.0,Sideways,"Sinyal SHORT didukung oleh tekanan jual tinggi dan MACD yang selaras, namun volume spike dan candle terakhir hijau menunjukkan potensi momentum bullish sementara.",SL_CLOSED,False,False,False,True,,,,2026-03-24 14:53:23+00:00,,,,,False,,,False,fetch_error
115,2026-03-24 14:27:53+00:00,KITEUSDT,LONG,0.2386,0.24623,0.25132,0.25768,0.23249,7,1:2.08,65.0,Sideways,"Indikator teknikal mendukung sinyal LONG dengan tren bullish dan tekanan beli yang kuat, meskipun volume trend menurun dan BB Position sudah tinggi.",TP2,True,True,False,False,2026-03-24 17:37:07+00:00,2026-03-24 18:35:44+00:00,,,22.39,37.32,,,False,,,False,fetch_error
119,2026-03-24 20:04:59+00:00,GASUSDT,LONG,1.635,1.67341,1.69902,1.73102,1.59019,5,1:1.43,65.0,Sideways,"Meskipun volume trend menurun, indikator teknikal utama selaras dan tidak ada konflik serius yang terlihat.",TP2,True,True,False,False,2026-03-24 21:09:52+00:00,2026-03-25 00:17:43+00:00,,,11.75,19.58,,,False,,,False,fetch_error
129,2026-03-25 08:24:56+00:00,OPNUSDT,SHORT,0.2076,0.20299,0.20068,0.19722,0.21314,4,1:1.25,65.0,Downtrend,"Meskipun ada bullish RSI divergence, tekanan jual yang kuat dan tren BTC downtrend mendukung sinyal SHORT.",TP2,True,True,False,False,2026-03-25 09:32:19+00:00,2026-03-25 10:28:43+00:00,,,8.89,13.33,,,False,,,False,fetch_error
134,2026-03-25 11:49:16+00:00,XNYUSDT,LONG,0.00554,0.006,0.0063,0.00668,0.00518,7,1:2.08,65.0,Sideways,Sinyal menunjukkan konfirmasi dari beberapa indikator teknis namun volume trend menurun dan buy pressure rendah bisa menjadi peringatan.,SL_CLOSED,False,False,False,True,,,,2026-03-25 22:16:17+00:00,,,,46.06,False,,,False,fetch_error
135,2026-03-25 16:21:54+00:00,TAOUSDT,LONG,360.59,377.05092,388.02487,401.7423,347.42126,7,1:2.08,65.0,Sideways,Indikator teknikal mendukung sinyal LONG meskipun ada sedikit penurunan harga dalam 5 candle terakhir.,SL_CLOSED,False,False,False,True,,,,2026-03-25 20:24:16+00:00,,,,25.56,False,,,False,fetch_error
138,2026-03-25 20:30:28+00:00,XAGUSDT,LONG,71.62,72.92294,73.79157,74.87735,70.57765,7,1:2.08,65.0,Uptrend,"Sinyal menunjukkan potensi rebound dari lower BB dengan dukungan EMA dan VWAP, meskipun volume trend menurun dan buy pressure rendah.",OPEN,False,False,False,False,,,,,,,,,False,,,False,fetch_error
140,2026-03-25 22:17:43+00:00,MUSDT,LONG,2.4318,2.72123,2.91418,3.15538,2.20026,5,1:2.08,65.0,Uptrend,Indikator teknikal mendukung uptrend namun volume trend menurun perlu diwaspadai,SL_CLOSED,False,False,False,True,,,,2026-03-26 10:16:44+00:00,,,,47.61,False,,,False,fetch_error
143,2026-03-25 23:06:21+00:00,PAXGUSDT,LONG,4507.67,4543.632,4554.59977,4572.87939,4491.30088,7,1:2.87,65.0,Uptrend,"Sinyal menunjukkan mean reversion dengan BB lower dan stochastic oversold, didukung oleh VWAP dan BTC uptrend, meskipun buy pressure rendah.",SL_CLOSED,False,False,False,True,,,,2026-03-26 05:29:14+00:00,,,,2.54,False,,,False,fetch_error
149,2026-03-26 05:34:33+00:00,PROVEUSDT,LONG,0.2799,0.30223,0.31711,0.33572,0.25385,5,1:1.43,54.0,Sideways,"Signal memiliki konfirmasi MACD dan EMA, namun volume trend menurun dan RSI tidak terlalu kuat. Buy pressure tinggi tapi ada warning funding rate negatif.",TP3_CLOSED,True,True,True,False,2026-03-26 22:04:57+00:00,2026-03-26 22:09:21+00:00,2026-03-26 22:11:34+00:00,,39.88,66.47,99.71,,False,,,False,fetch_error
151,2026-03-26 10:28:21+00:00,COINUSDT,SHORT,177.98,176.18839,174.99398,173.50096,180.07022,5,1:1.43,65.0,Sideways,"Sinyal SHORT didukung oleh tekanan jual tinggi dan posisi BB yang rendah, namun volume trend meningkat bisa mengurangi momentum turun.",TP2,True,True,False,False,2026-03-26 13:30:24+00:00,2026-03-26 13:31:30+00:00,,,5.03,8.39,,,False,,,False,fetch_error
153,2026-03-26 11:29:22+00:00,KITEUSDT,SHORT,0.21406,0.2049,0.19879,0.19115,0.22475,5,1:1.43,70.0,Sideways,"Sinyal SHORT didukung oleh tekanan jual tinggi dan tren bearish yang kuat, meskipun volume trend menurun",TP3_CLOSED,True,True,True,False,2026-03-26 16:07:18+00:00,2026-03-26 23:35:56+00:00,2026-03-27 00:05:45+00:00,,21.41,35.68,53.51,,False,,,False,fetch_error
159,2026-03-26 19:55:02+00:00,ROBOUSDT,LONG,0.02504,0.02596,0.02642,0.02711,0.02394,4,1:1.25,65.0,Sideways,"Indikator teknikal mendukung LONG dengan momentum positif dan tekanan beli dominan, meskipun BTC sideways dan 4H netral.",TP2,True,True,False,False,2026-03-26 22:30:36+00:00,2026-03-27 01:06:18+00:00,,,14.71,22.06,,,False,,,False,fetch_error
165,2026-03-26 23:21:23+00:00,BTCUSDT,SHORT,68785.5,68037.02512,67538.04187,66914.3128,69384.2799,7,1:2.08,65.0,Downtrend,"Meskipun ada bullish RSI divergence, selling pressure tinggi dan tren BTC downtrend mendukung sinyal SHORT.",TP3_CLOSED,True,True,True,False,2026-03-27 08:36:05+00:00,2026-03-27 09:11:36+00:00,2026-03-27 10:39:02+00:00,,7.62,12.69,19.04,,False,,,False,fetch_error
166,2026-03-26 23:21:32+00:00,AVAXUSDT,SHORT,9.099,8.9873,8.91283,8.81974,9.18836,7,1:2.08,65.0,Downtrend,"Meskipun ada bullish RSI divergence, tekanan jual kuat dan tren BTC downtrend mendukung sinyal SHORT.",TP2,True,True,False,False,2026-03-27 08:36:23+00:00,2026-03-27 08:38:39+00:00,,,8.59,14.32,,,False,,,False,fetch_error
180,2026-03-27 18:31:03+00:00,XAUUSDT,LONG,4512.58,4564.27756,4598.74261,4641.82391,4471.22195,7,1:2.08,65.0,Sideways,"Indikator teknikal mendukung sinyal LONG dengan buying pressure tinggi dan alignment MACD, namun BB Position 0.90 menunjukkan harga sudah mendekati upper band yang bisa berarti overbought.",SL_CLOSED,False,False,False,True,,,,2026-03-29 23:06:53+00:00,,,,6.42,False,,,False,fetch_error
181,2026-03-27 18:39:45+00:00,CRCLUSDT,SHORT,93.37,90.07993,87.88655,85.14483,96.00206,7,1:2.08,75.0,Sideways,"Sinyal SHORT didukung oleh tekanan jual tinggi dan indikator teknikal yang selaras, meskipun volume trend meningkat dan candle terakhir hijau.",SL_CLOSED,False,False,False,True,,,,2026-03-30 08:14:12+00:00,,,,19.73,False,,,False,fetch_error
182,2026-03-27 19:59:57+00:00,ETHUSDT,SHORT,1990.92,1960.68654,1940.53091,1915.33636,2015.10676,7,1:2.08,65.0,Sideways,Indikator teknikal mendukung SHORT namun volume trend menurun dan momentum candle terakhir kurang kuat.,SL_CLOSED,False,False,False,True,,,,2026-03-28 13:40:34+00:00,,,,8.5,False,,,False,fetch_error
191,2026-03-29 00:32:16+00:00,KATUSDT,LONG,0.012,0.01236,0.01254,0.01281,0.01157,4,1:1.25,56.0,Uptrend,"Signal memiliki konfirmasi MACD dan EMA, namun volume trend menurun dan candle terakhir menunjukkan bearish momentum.",TP2,True,True,False,False,2026-03-29 02:16:07+00:00,2026-03-29 03:33:44+00:00,,,11.98,17.97,,,False,,,False,fetch_error
198,2026-03-29 08:30:27+00:00,SUIUSDT,SHORT,0.8632,0.85554,0.85043,0.84404,0.87214,5,1:1.43,54.0,Sideways,"Sinyal SHORT memiliki konfirmasi dari MACD, RSI <50, dan tekanan jual tinggi (76.4%), namun volume trend menurun (-76.9%) bisa mengurangi kekuatan breakout.",TP1,True,False,False,False,2026-03-29 10:33:36+00:00,,,,4.44,,,,False,,,False,fetch_error
200,2026-03-29 10:43:02+00:00,AIAUSDT,LONG,0.11334,0.11918,0.12308,0.12794,0.10653,5,1:1.43,55.0,Sideways,"Meskipun ada bearish RSI divergence dan posisi BB sudah stretched, momentum bullish masih kuat didukung volume spike dan EMA trend.",TP3_CLOSED,True,True,True,False,2026-03-29 12:58:37+00:00,2026-03-29 13:26:18+00:00,2026-03-29 13:52:26+00:00,,25.77,42.95,64.42,,False,,,False,fetch_error
203,2026-03-29 11:56:41+00:00,SIGNUSDT,SHORT,0.03195,0.03119,0.03069,0.03006,0.03283,5,1:1.43,65.0,Sideways,"Sinyal SHORT didukung oleh bearish divergence RSI dan tren EMA, meskipun ada sedikit kenaikan harga dalam 3 candle terakhir.",SL_CLOSED,False,False,False,True,,,,2026-03-29 23:24:50+00:00,,,,13.79,False,,,False,fetch_error
214,2026-03-29 23:30:18+00:00,TRIAUSDT,LONG,0.03318,0.03466,0.03564,0.03688,0.032,7,1:2.08,65.0,Sideways,"Indikator teknikal mendukung uptrend dengan buy pressure tinggi dan volume meningkat, meskipun ada sedikit pullback pada candle terakhir.",TP2,True,True,False,False,2026-03-30 02:46:36+00:00,2026-03-30 04:11:30+00:00,,,31.2,52.0,,,False,,,False,fetch_error
223,2026-03-30 08:44:28+00:00,DEXEUSDT,LONG,7.911,8.24043,8.46004,8.73456,7.64746,7,1:2.08,65.0,Sideways,"Buy pressure tinggi dan MACD aligned, namun ROC(5) negatif dan candle terakhir merah menunjukkan momentum lemah.",SL_CLOSED,False,False,False,True,,,,2026-03-30 09:00:57+00:00,,,,23.32,False,,,False,fetch_error
226,2026-03-30 11:19:30+00:00,GOATUSDT,LONG,0.01825,0.0192,0.01983,0.02062,0.01749,7,1:2.08,75.0,Sideways,"Buy pressure tinggi, volume spike signifikan, dan EMA trend aligned mendukung sinyal LONG meskipun candle terakhir merah.",OPEN,False,False,False,False,,,,,,,,,False,,,False,fetch_error
